"id","date","year","month","day","tmin","tmax","daily_Cd","daily_Ca","Cd_cumsum","Ca_cumsum","diff_Ca_Cd","diff_Ca_Cd_cumsum","doy","lat","long","alt","city"
"JA000047759","2023-03-01",2023,3,1,8,17,0,5.5,-214.982201295395,36.7,5.5,496.267798704605,60,35.017,135.733,46,"Kyoto"
"JA000047759","2023-03-02",2023,3,2,10,15,0,5.5,-214.982201295395,42.2,5.5,501.767798704605,61,35.017,135.733,46,"Kyoto"
"JA000047759","2023-03-03",2023,3,3,4,14,-1.5,3.5,-216.482201295395,45.7,2,503.767798704605,62,35.017,135.733,46,"Kyoto"
"JA000047759","2023-03-04",2023,3,4,1,13,-3,3,-219.482201295395,48.7,0,503.767798704605,63,35.017,135.733,46,"Kyoto"
"JA000047759","2023-03-05",2023,3,5,6,15,-0.5,4,-219.982201295395,52.7,3.5,507.267798704605,64,35.017,135.733,46,"Kyoto"
"JA000047759","2023-03-06",2023,3,6,8,18,0,6,-219.982201295395,58.7,6,513.267798704605,65,35.017,135.733,46,"Kyoto"
"JA000047759","2023-03-07",2023,3,7,9,18,0,6.5,-219.982201295395,65.2,6.5,519.767798704605,66,35.017,135.733,46,"Kyoto"
"JA000047759","2023-03-08",2023,3,8,0,10,-3.5,1.5,-223.482201295395,66.7,-2,517.767798704605,67,35.017,135.733,46,"Kyoto"
"JA000047759","2023-03-09",2023,3,9,4,13,-1.5,3,-224.982201295395,69.7,1.5,519.267798704605,68,35.017,135.733,46,"Kyoto"
"JA000047759","2023-03-10",2023,3,10,5,14,-1,3.5,-225.982201295395,73.2,2.5,521.767798704605,69,35.017,135.733,46,"Kyoto"
"JA000047759","2023-03-11",2023,3,11,2,14,-2.5,3.5,-228.482201295395,76.7,1,522.767798704605,70,35.017,135.733,46,"Kyoto"
"JA000047759","2023-03-12",2023,3,12,0,11,-3.5,2,-231.982201295395,78.7,-1.5,521.267798704605,71,35.017,135.733,46,"Kyoto"
"JA000047759","2023-03-13",2023,3,13,2,13,-2.5,3,-234.482201295395,81.7,0.5,521.767798704605,72,35.017,135.733,46,"Kyoto"
"JA000047759","2023-03-14",2023,3,14,6,15,-0.5,4,-234.982201295395,85.7,3.5,525.267798704605,73,35.017,135.733,46,"Kyoto"
"JA000047759","2023-03-15",2023,3,15,2,14,-2.5,3.5,-237.482201295395,89.2,1,526.267798704605,74,35.017,135.733,46,"Kyoto"
"JA000047759","2023-03-16",2023,3,16,1,15,-3,4,-240.482201295395,93.2,1,527.267798704605,75,35.017,135.733,46,"Kyoto"
"JA000047759","2023-03-17",2023,3,17,1,10,-3,1.5,-243.482201295395,94.7,-1.5,525.767798704605,76,35.017,135.733,46,"Kyoto"
"JA000047759","2023-03-18",2023,3,18,4,12,-1.5,2.5,-244.982201295395,97.2,1,526.767798704605,77,35.017,135.733,46,"Kyoto"
"JA000047759","2023-03-19",2023,3,19,2,11,-2.5,2,-247.482201295395,99.2,-0.5,526.267798704605,78,35.017,135.733,46,"Kyoto"
"JA000047759","2023-03-20",2023,3,20,3,12,-2,2.5,-249.482201295395,101.7,0.5,526.767798704605,79,35.017,135.733,46,"Kyoto"
"JA000047759","2023-03-21",2023,3,21,2,15,-2.5,4,-251.982201295395,105.7,1.5,528.267798704605,80,35.017,135.733,46,"Kyoto"
"JA000047759","2023-03-22",2023,3,22,2,15,-2.5,4,-254.482201295395,109.7,1.5,529.767798704605,81,35.017,135.733,46,"Kyoto"
"JA000047759","2023-03-23",2023,3,23,8,17,0,5.5,-254.482201295395,115.2,5.5,535.267798704605,82,35.017,135.733,46,"Kyoto"
"JA000047759","2023-03-24",2023,3,24,7,18,0,5.5,-254.482201295395,120.7,5.5,540.767798704605,83,35.017,135.733,46,"Kyoto"
"JA000047759","2023-03-25",2023,3,25,3,17,-2,5,-256.482201295395,125.7,3,543.767798704605,84,35.017,135.733,46,"Kyoto"
"JA000047759","2023-03-26",2023,3,26,3,17,-2,5,-258.482201295395,130.7,3,546.767798704605,85,35.017,135.733,46,"Kyoto"
"JA000047759","2023-03-27",2023,3,27,3,14,-2,3.5,-260.482201295395,134.2,1.5,548.267798704605,86,35.017,135.733,46,"Kyoto"
"JA000047759","2023-03-28",2023,3,28,7,14,0,3.5,-260.482201295395,137.7,3.5,551.767798704605,87,35.017,135.733,46,"Kyoto"
"JA000047759","2023-03-29",2023,3,29,8,15,0,4.5,-260.482201295395,142.2,4.5,556.267798704605,88,35.017,135.733,46,"Kyoto"
"JA000047759","2023-03-30",2023,3,30,4,15,-1.5,4,-261.982201295395,146.2,2.5,558.767798704605,89,35.017,135.733,46,"Kyoto"
"JA000047759","2023-03-31",2023,3,31,4,16,-1.5,4.5,-263.482201295395,150.7,3,561.767798704605,90,35.017,135.733,46,"Kyoto"
"JA000047759","2023-04-01",2023,4,1,4,15,-1.5,4,-264.982201295395,154.7,2.5,564.267798704605,91,35.017,135.733,46,"Kyoto"
"JA000047759","2023-04-02",2023,4,2,8,15,0,4.5,-264.982201295395,159.2,4.5,568.767798704605,92,35.017,135.733,46,"Kyoto"
"JA000047759","2023-04-03",2023,4,3,9,16,0,5.5,-264.982201295395,164.7,5.5,574.267798704605,93,35.017,135.733,46,"Kyoto"
"JA000047759","2023-04-04",2023,4,4,9,18,0,6.5,-264.982201295395,171.2,6.5,580.767798704605,94,35.017,135.733,46,"Kyoto"
"JA000047759","2023-04-05",2023,4,5,5,20,-1,6.5,-265.982201295395,177.7,5.5,586.267798704605,95,35.017,135.733,46,"Kyoto"
"JA000047759","2023-04-06",2023,4,6,5,17,-1,5,-266.982201295395,182.7,4,590.267798704605,96,35.017,135.733,46,"Kyoto"
"JA000047759","2023-04-07",2023,4,7,5,17,-1,5,-267.982201295395,187.7,4,594.267798704605,97,35.017,135.733,46,"Kyoto"
"JA000047759","2023-04-08",2023,4,8,6,17,-0.5,5,-268.482201295395,192.7,4.5,598.767798704605,98,35.017,135.733,46,"Kyoto"
"JA000047759","2023-04-09",2023,4,9,9,17,0,6,-268.482201295395,198.7,6,604.767798704605,99,35.017,135.733,46,"Kyoto"
"JA000047759","2023-04-10",2023,4,10,9,19,0,7,-268.482201295395,205.7,7,611.767798704605,100,35.017,135.733,46,"Kyoto"
"JA000047759","2023-04-11",2023,4,11,8,21,0,7.5,-268.482201295395,213.2,7.5,619.267798704605,101,35.017,135.733,46,"Kyoto"
"JA000047759","2023-04-12",2023,4,12,11,21,0,9,-268.482201295395,222.2,9,628.267798704605,102,35.017,135.733,46,"Kyoto"
"JA000047759","2023-04-13",2023,4,13,11,21,0,9,-268.482201295395,231.2,9,637.267798704605,103,35.017,135.733,46,"Kyoto"
"JA000047759","2023-04-14",2023,4,14,11,18,0,7.5,-268.482201295395,238.7,7.5,644.767798704605,104,35.017,135.733,46,"Kyoto"
"JA000047759","2023-04-15",2023,4,15,12,19,0,8.5,-268.482201295395,247.2,8.5,653.267798704605,105,35.017,135.733,46,"Kyoto"
"JA000047759","2023-04-16",2023,4,16,8,21,0,7.5,-268.482201295395,254.7,7.5,660.767798704605,106,35.017,135.733,46,"Kyoto"
"JA000047759","2023-04-17",2023,4,17,6,20,-0.5,6.5,-268.982201295395,261.2,6,666.767798704605,107,35.017,135.733,46,"Kyoto"
"JA000047759","2023-04-18",2023,4,18,7,19,0,6,-268.982201295395,267.2,6,672.767798704605,108,35.017,135.733,46,"Kyoto"
"JA000047759","2023-04-19",2023,4,19,9,20,0,7.5,-268.982201295395,274.7,7.5,680.267798704605,109,35.017,135.733,46,"Kyoto"
"JA000047759","2023-04-20",2023,4,20,12,21,0,9.5,-268.982201295395,284.2,9.5,689.767798704605,110,35.017,135.733,46,"Kyoto"
"JA000047759","2023-04-21",2023,4,21,9,22,0,8.5,-268.982201295395,292.7,8.5,698.267798704605,111,35.017,135.733,46,"Kyoto"
"JA000047759","2023-04-22",2023,4,22,9,20,0,7.5,-268.982201295395,300.2,7.5,705.767798704605,112,35.017,135.733,46,"Kyoto"
"JA000047759","2023-04-23",2023,4,23,11,21,0,9,-268.982201295395,309.2,9,714.767798704605,113,35.017,135.733,46,"Kyoto"
"JA000047759","2023-04-24",2023,4,24,10,20,0,8,-268.982201295395,317.2,8,722.767798704605,114,35.017,135.733,46,"Kyoto"
"JA000047759","2023-04-25",2023,4,25,11,21,0,9,-268.982201295395,326.2,9,731.767798704605,115,35.017,135.733,46,"Kyoto"
"JA000047759","2023-04-26",2023,4,26,9,22,0,8.5,-268.982201295395,334.7,8.5,740.267798704605,116,35.017,135.733,46,"Kyoto"
"JA000047759","2023-04-27",2023,4,27,9,21,0,8,-268.982201295395,342.7,8,748.267798704605,117,35.017,135.733,46,"Kyoto"
"JA000047759","2023-04-28",2023,4,28,11,21,0,9,-268.982201295395,351.7,9,757.267798704605,118,35.017,135.733,46,"Kyoto"
"JA000047759","2023-04-29",2023,4,29,12,24,0,11,-268.982201295395,362.7,11,768.267798704605,119,35.017,135.733,46,"Kyoto"
"JA000047759","2023-04-30",2023,4,30,11,21,0,9,-268.982201295395,371.7,9,777.267798704605,120,35.017,135.733,46,"Kyoto"
