"id","latitude","longitude","elevation","state","name","gsn_flag","wmo_id","element","first_year","last_year"
"JA000047605",36.583,136.633,33,"","KANAZAWA","","47605","TMAX",1951,2022
"JA000047616",36.05,136.217,17,"","FUKUI","","47616","TMAX",1951,2023
"JA000047636",35.167,136.967,56,"","NAGOYA","","47636","TMAX",1951,2022
"JA000047651",34.733,136.517,18,"","TSU","","47651","TMAX",1951,2022
"JA000047746",35.483,134.233,16,"","TOTTORI","","47746","TMAX",1951,2022
"JA000047759",35.017,135.733,46,"","KYOTO","","47759","TMAX",1951,2023
"JA000047761",35.283,136.25,89,"","HIKONE","","47761","TMAX",1951,2023
"JA000047768",34.667,133.917,18,"","OKAYAMA","","47768","TMAX",1951,2023
"JA000047770",34.7,135.217,30,"","KOBE","","47770","TMAX",1951,2023
"JA000047891",34.317,134.05,10,"","TAKAMATSU","","47891","TMAX",1951,2022
"JAM00047772",34.683,135.517,83,"","OSAKA","","47772","TMAX",1953,2022
