"city","id","lat","long","alt"
"Azmoos","GME00128830",47.076869,9.479753,480
"Birmensdorf","GMM00010818",47.342472,8.444342,500
"Boudry","SZE00105086",46.949492,6.834386,450
"Cevio-Cavergno","SZ000006717",46.315447,8.598925,430
"Edlibach","GME00102404",47.179358,8.573208,750
"Eschen-Boja","SZ000002220",47.218989,9.520044,580
"Laufenburg","GME00128542",47.561031,8.063136,330
"Liestal","GME00127786",47.481403,7.730519,350
"Locarno","SZ000009480",46.169278,8.798214,200
"Muri, AG","SZ000001940",47.265317,8.332283,550
"Rafz","GME00129634",47.620414,8.542733,515
"Villnachern","GME00120934",47.470556,8.154928,415
"Zürich-MeteoSchweiz","SZ000003700",47.378142,8.565853,555
"Zürich-Witikon","GME00127546",47.3591,8.590272,620
