"boostings","learning_rates","max_bins","min_data_in_leaf","num_leaves","max_depth","val_auc","test_auc"
1,0.1,255,24,64,-1,0.799961885096878,0.793130225759981
1,0.1,125,24,64,-1,0.803215417380915,0.803987725161219
1,0.1,64,24,64,-1,0.801584593008155,0.794224501910676
1,0.1,255,48,64,-1,0.80597527401174,0.780385984596631
1,0.1,125,48,64,-1,0.807273128668641,0.779799901874571
1,0.1,64,48,64,-1,0.803193080878915,0.79091553348776
1,0.1,255,12,64,-1,0.795622824788323,0.800800854978123
1,0.1,125,12,64,-1,0.794601254480287,0.801246854266758
1,0.1,64,12,64,-1,0.796306360708535,0.813508902335707
1,0.1,255,24,128,-1,0.799961885096878,0.793130225759981
1,0.1,125,24,128,-1,0.803215417380915,0.803987725161219
1,0.1,64,24,128,-1,0.801584593008155,0.794224501910676
1,0.1,255,48,128,-1,0.80597527401174,0.780385984596631
1,0.1,125,48,128,-1,0.807273128668641,0.779799901874571
1,0.1,64,48,128,-1,0.803193080878915,0.79091553348776
1,0.1,255,12,128,-1,0.794514246013194,0.802992367575355
1,0.1,125,12,128,-1,0.796885616331619,0.793841506654298
1,0.1,64,12,128,-1,0.80087404550413,0.80930606420513
1,0.1,255,24,192,-1,0.799961885096878,0.793130225759981
1,0.1,125,24,192,-1,0.803215417380915,0.803987725161219
1,0.1,64,24,192,-1,0.801584593008155,0.794224501910676
1,0.1,255,48,192,-1,0.80597527401174,0.780385984596631
1,0.1,125,48,192,-1,0.807273128668641,0.779799901874571
1,0.1,64,48,192,-1,0.803193080878915,0.79091553348776
1,0.1,255,12,192,-1,0.794514246013194,0.802992367575355
1,0.1,125,12,192,-1,0.796885616331619,0.793841506654298
1,0.1,64,12,192,-1,0.80087404550413,0.80930606420513
1,0.1,255,24,64,30,0.799961885096878,0.793130225759981
1,0.1,125,24,64,30,0.803215417380915,0.803987725161219
1,0.1,64,24,64,30,0.801584593008155,0.794224501910676
1,0.1,255,48,64,30,0.80597527401174,0.780385984596631
1,0.1,125,48,64,30,0.807273128668641,0.779799901874571
1,0.1,64,48,64,30,0.803193080878915,0.79091553348776
1,0.1,255,12,64,30,0.795622824788323,0.800800854978123
1,0.1,125,12,64,30,0.794601254480287,0.802201298329902
1,0.1,64,12,64,30,0.796306360708535,0.813508902335707
1,0.1,255,24,128,30,0.799961885096878,0.793130225759981
1,0.1,125,24,128,30,0.803215417380915,0.803987725161219
1,0.1,64,24,128,30,0.801584593008155,0.794224501910676
1,0.1,255,48,128,30,0.80597527401174,0.780385984596631
1,0.1,125,48,128,30,0.807273128668641,0.779799901874571
1,0.1,64,48,128,30,0.803193080878915,0.79091553348776
1,0.1,255,12,128,30,0.794514246013194,0.802003209854367
1,0.1,125,12,128,30,0.798331969767804,0.793593735477794
1,0.1,64,12,128,30,0.80087404550413,0.808832751998256
1,0.1,255,24,192,30,0.799961885096878,0.793130225759981
1,0.1,125,24,192,30,0.803215417380915,0.803987725161219
1,0.1,64,24,192,30,0.801584593008155,0.794224501910676
1,0.1,255,48,192,30,0.80597527401174,0.780385984596631
1,0.1,125,48,192,30,0.807273128668641,0.779799901874571
1,0.1,64,48,192,30,0.803193080878915,0.79091553348776
1,0.1,255,12,192,30,0.794514246013194,0.802003209854367
1,0.1,125,12,192,30,0.798331969767804,0.793593735477794
1,0.1,64,12,192,30,0.80087404550413,0.808832751998256
1,0.1,255,24,64,50,0.799961885096878,0.793130225759981
1,0.1,125,24,64,50,0.803215417380915,0.803987725161219
1,0.1,64,24,64,50,0.801584593008155,0.794224501910676
1,0.1,255,48,64,50,0.80597527401174,0.780385984596631
1,0.1,125,48,64,50,0.807273128668641,0.779799901874571
1,0.1,64,48,64,50,0.803193080878915,0.79091553348776
1,0.1,255,12,64,50,0.795622824788323,0.800800854978123
1,0.1,125,12,64,50,0.794601254480287,0.801246854266758
1,0.1,64,12,64,50,0.796306360708535,0.813508902335707
1,0.1,255,24,128,50,0.799961885096878,0.793130225759981
1,0.1,125,24,128,50,0.803215417380915,0.803987725161219
1,0.1,64,24,128,50,0.801584593008155,0.794224501910676
1,0.1,255,48,128,50,0.80597527401174,0.780385984596631
1,0.1,125,48,128,50,0.807273128668641,0.779799901874571
1,0.1,64,48,128,50,0.803193080878915,0.79091553348776
1,0.1,255,12,128,50,0.794514246013194,0.802992367575355
1,0.1,125,12,128,50,0.796885616331619,0.793841506654298
1,0.1,64,12,128,50,0.80087404550413,0.80930606420513
1,0.1,255,24,192,50,0.799961885096878,0.793130225759981
1,0.1,125,24,192,50,0.803215417380915,0.803987725161219
1,0.1,64,24,192,50,0.801584593008155,0.794224501910676
1,0.1,255,48,192,50,0.80597527401174,0.780385984596631
1,0.1,125,48,192,50,0.807273128668641,0.779799901874571
1,0.1,64,48,192,50,0.803193080878915,0.79091553348776
1,0.1,255,12,192,50,0.794514246013194,0.802992367575355
1,0.1,125,12,192,50,0.796885616331619,0.793841506654298
1,0.1,64,12,192,50,0.80087404550413,0.80930606420513
