"","id","name","latitude","longitude","elevation"
"1","JA000047632","GIFU",35.4,136.767,17
"2","JA000047636","NAGOYA",35.167,136.967,56
"4","JA000047651","TSU",34.733,136.517,18
"6","JA000047654","HAMAMATSU",34.717,137.717,33
"8","JA000047656","SHIZUOKA",34.983,138.4,15
"12","JA000047670","YOKOHAMA",35.433,139.65,42
"14","JA000047675","OSHIMA",34.75,139.383,79
"15","JA000047741","MATSUE",35.45,133.067,23
"16","JA000047744","YONAGO",35.433,133.333,9
"17","JA000047746","TOTTORI",35.483,134.233,16
"18","JA000047755","HAMADA",34.9,132.067,20
"20","JA000047759","KYOTO",35.017,135.733,46
"21","JA000047761","HIKONE",35.283,136.25,89
"22","JA000047768","OKAYAMA",34.667,133.917,18
"23","JA000047770","KOBE",34.7,135.217,30
